Question,Answer
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'The Darkin Blade', dealing bonus damage on hit?"," ""Aatrox"""
What is the name of the item that provides bonus ability power and bonus health?," ""Riftmaker"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Zhonya's Hourglass'?," ""Provides a stasis effect and bonus ability power"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Ravenous Hydra"""
Which champion can apply Grievous Wounds with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Demonic Embrace'?," ""Deals additional damage over time based on enemy's max health"""
Which champion has the ability 'Deicide'?," ""Karthus"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Plague Doctor', dealing damage over time?"," ""Teemo"""
What is the name of the item that provides bonus attack damage and cooldown reduction?," ""Sterak's Gage"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Wild Growth'?," ""Lulu"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Reckoning', dealing bonus damage on critical strikes?"," ""Kayle"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can pull enemies with the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
Which champion has the ability 'Silencing Strike'?," ""Katarina"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Ferocity', dealing bonus damage on every third attack?"," ""Rengar"""
What is the name of the item that provides bonus attack speed and critical strike chance?," ""Rapid Firecannon"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Righteous Fury'?," ""Kayle"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Shadow Assault'?," ""Zed"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Grit', increasing health and attack speed?"," ""Ornn"""
What is the name of the item that grants bonus attack damage and bonus health?," ""Black Cleaver"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'The Darkin Blade', dealing bonus damage on hit?"," ""Aatrox"""
What is the name of the item that provides bonus ability power and bonus health?," ""Riftmaker"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the main function of the item 'Zhonya's Hourglass'?," ""Provides a stasis effect and bonus ability power"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Living Shadow', duplicating their abilities?"," ""Zed"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Ravenous Hydra"""
Which champion can apply Grievous Wounds with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Demonic Embrace'?," ""Deals additional damage over time based on enemy's max health"""
Which champion has the ability 'Deicide'?," ""Karthus"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
"Which champion's passive ability is 'Plague Doctor', dealing damage over time?"," ""Teemo"""
What is the name of the item that provides bonus attack damage and cooldown reduction?," ""Sterak's Gage"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Wild Growth'?," ""Lulu"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Reckoning', dealing bonus damage on critical strikes?"," ""Kayle"""
What is the name of the item that grants bonus ability power and health regeneration?," ""Warmog's Armor"""
Which champion can pull enemies with the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
Which champion has the ability 'Silencing Strike'?," ""Katarina"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Ferocity', dealing bonus damage on every third attack?"," ""Rengar"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the name of the item that grants bonus health and slows enemies on hit?," ""Frozen Mallet"""
Which champion's ultimate ability is 'Equalizer'?," ""Rumble"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion has the ability 'Toxic Shot'?," ""Teemo"""
What is the main function of the item 'Gargoyle Stoneplate'?," ""Grants bonus armor and magic resist and provides a shield based on missing health"""
Which champion can deal area-of-effect damage with the ability 'Explosive Charge'?," ""Tristana"""
What is the name of the item that provides bonus attack speed and crit chance?," ""Rapid Firecannon"""
Which champion's ultimate ability is 'Culling'?," ""Lucian"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
Which champion can stun with the ability 'Sundering Strike'?," ""Jarvan IV"""
What is the main function of the item 'Abyssal Mask'?," ""Increases magic damage taken by nearby enemies"""
Which champion has the ability 'Tornado'?," ""Janna"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can deal bonus damage with the ability 'Crescendo'?," ""Sona"""
What is the name of the item that grants bonus attack damage and lifesteal?," ""Ravenous Hydra"""
Which champion has the ability 'Decimating Smash'?," ""Ornn"""
What is the main function of the item 'Liandry's Anguish'?," ""Deals damage over time based on enemy's max health"""
Which champion can shield allies with the ability 'Inspire'?," ""Karma"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
Which champion's ultimate ability is 'Dragon's Rage'?," ""Lee Sin"""
What is the name of the item that provides bonus attack speed and mana regeneration?," ""Nashor's Tooth"""
Which champion can apply Grievous Wounds with the ability 'Noxian Corrosive Charge'?," ""Singed"""
What is the main function of the item 'Duskblade of Draktharr'?," ""Provides lethality and invisibility on kill"""
Which champion has the ability 'Moonfall'?," ""Diana"""
What is the cooldown of the summoner spell 'Exhaust'?," ""210 seconds"""
Which champion can deal bonus true damage with the ability 'Siphoning Strike'?," ""Nasus"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion's ultimate ability is 'Grand Skyfall'?," ""Pantheon"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion can reveal enemies with the ability 'Scrying Orb'?," ""Ezreal"""
What is the cooldown of the summoner spell 'Flash'?," ""300 seconds"""
"Which champion's passive ability is 'Nimble Fighter', reducing damage from basic attacks?"," ""Fizz"""
What is the name of the item that grants bonus ability power and mana regeneration?," ""Archangel's Staff"""
Which champion can knock back enemies with the ability 'Headbutt'?," ""Alistar"""
What is the main function of the item 'Thornmail'?," ""Reflects damage back to attackers"""
Which champion's ultimate ability is 'Gnar'?," ""Gnar"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
Which champion can silence enemies with the ability 'Feral Scream'?," ""Cho'Gath"""
What is the name of the item that provides bonus health and attack speed?," ""Titanic Hydra"""
Which champion's ultimate ability is 'Bullet Time'?," ""Miss Fortune"""
What is the main function of the item 'Zhonya's Hourglass'?," ""Provides a stasis effect and bonus ability power"""
Which champion has the ability 'The Box'?," ""Thresh"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the name of the item that grants bonus attack damage and critical strike?," ""Infinity Edge"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can grant bonus attack speed with the ability 'Primal Howl'?," ""Warwick"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion has the ability 'The Righteous Fury'?," ""Kayle"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and shield penetration"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Mighty Strike', dealing bonus damage to low health enemies?"," ""Kled"""
What is the name of the item that provides bonus attack speed and cooldown reduction?," ""Navori Quickblades"""
Which champion can deal area damage with the ability 'Cannon Barrage'?," ""Gangplank"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'The Box'?," ""Thresh"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the name of the item that grants bonus attack damage and critical strike chance?," ""Infinity Edge"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can grant bonus attack speed with the ability 'Primal Howl'?," ""Warwick"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion has the ability 'The Righteous Fury'?," ""Kayle"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and shield penetration"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Mighty Strike', dealing bonus damage to low health enemies?"," ""Kled"""
What is the name of the item that provides bonus attack speed and cooldown reduction?," ""Navori Quickblades"""
Which champion can deal area damage with the ability 'Cannon Barrage'?," ""Gangplank"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the name of the item that grants bonus attack damage and critical strike chance?," ""Infinity Edge"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can grant bonus attack speed with the ability 'Primal Howl'?," ""Warwick"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion has the ability 'The Righteous Fury'?," ""Kayle"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and shield penetration"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Mighty Strike', dealing bonus damage to low health enemies?"," ""Kled"""
What is the name of the item that provides bonus attack speed and cooldown reduction?," ""Navori Quickblades"""
Which champion can deal area damage with the ability 'Cannon Barrage'?," ""Gangplank"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the name of the item that grants bonus attack damage and critical strike chance?," ""Infinity Edge"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can grant bonus attack speed with the ability 'Primal Howl'?," ""Warwick"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion has the ability 'The Righteous Fury'?," ""Kayle"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and shield penetration"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Mighty Strike', dealing bonus damage to low health enemies?"," ""Kled"""
What is the name of the item that provides bonus attack speed and cooldown reduction?," ""Navori Quickblades"""
Which champion can deal area damage with the ability 'Cannon Barrage'?," ""Gangplank"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
What is the name of Jinx's ultimate ability?," ""Super Mega Death Rocket"""
"Which champion's passive ability is 'Dragon's Rage', dealing bonus damage with basic attacks?"," ""Lee Sin"""
What is the effect of the 'Ocean Drake' buff?," ""Provides health and mana regeneration"""
Which champion can blind enemies with the ability 'Blinding Assault'?," ""Vayne"""
What is the name of the item that grants bonus attack speed and movement speed?," ""Guinsoo's Rageblade"""
Which champion's ultimate ability is 'Abyssal Voyage'?," ""Tahm Kench"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
Which champion can apply a slow effect with the ability 'Glacial Augment'?," ""Sejuani"""
What is the name of the item that grants bonus health and armor?," ""Sunfire Aegis"""
Which champion has the ability 'Infernal Chains'?," ""Aatrox"""
What is the main function of the item 'Hextech Rocketbelt'?," ""Provides ability power and a dash that deals area damage"""
Which champion can grant bonus attack speed with the ability 'Fervor of Battle'?," ""Aatrox"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Supercharge', providing bonus attack speed?"," ""Jinx"""
What is the name of the item that grants bonus ability power and magic penetration?," ""Void Staff"""
Which champion can shield allies with the ability 'Luminous Bond'?," ""Lux"""
What is the main function of the item 'Dead Man's Plate'?," ""Grants bonus health and a movement speed boost"""
Which champion has the ability 'Vicious Strikes'?," ""Dr. Mundo"""
What is the cooldown of the summoner spell 'Ghost'?," ""210 seconds"""
"Which champion's passive ability is 'Hallowed Mist', providing bonus armor and magic resist?"," ""Irelia"""
What is the name of the item that grants bonus health and reduces enemy healing?," ""Bramble Vest"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Riftmaker'?," ""Deals additional damage based on enemy's max health and provides omnivamp"""
Which champion has the ability 'Cerulean Wave'?," ""Nami"""
What is the cooldown of the summoner spell 'Ignite'?," ""180 seconds"""
Which champion's ultimate ability is 'Glacial Prison'?," ""Sejuani"""
What is the name of the item that grants bonus attack damage and health?," ""Sterak's Gage"""
Which champion can provide a shield with the ability 'Gleaming Quill'?," ""Taric"""
What is the main function of the item 'Luden's Tempest'?," ""Provides ability power and deals bonus damage on spell hit"""
Which champion has the ability 'Corrosive Charge'?," ""Singed"""
What is the cooldown of the summoner spell 'Barrier'?," ""180 seconds"""
"Which champion's passive ability is 'Moonlight Vigil', dealing bonus damage with basic attacks?"," ""Miss Fortune"""
What is the name of the item that grants bonus ability power and cooldown reduction?," ""Luden's Tempest"""
Which champion can apply a slow effect with the ability 'Dark Binding'?," ""Morgana"""
What is the main function of the item 'Gargoyle Stoneplate'?," ""Grants bonus armor and magic resist and provides a shield based on missing health"""
Which champion has the ability 'Iceborn Gauntlet'?," ""Anivia"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Rampage', dealing bonus damage on each consecutive hit?"," ""Warwick"""
What is the name of the item that grants bonus attack damage and lethality?," ""Duskblade of Draktharr"""
Which champion can pull enemies with the ability 'Rocket Grab'?," ""Blitzcrank"""
What is the main function of the item 'Sunfire Aegis'?," ""Provides bonus health and deals area damage based on max health"""
Which champion has the ability 'Solar Flare'?," ""Leona"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
"Which champion's passive ability is 'Stormraider's Surge', providing bonus movement speed after a successful hit?"," ""Jhin"""
What is the name of the item that provides bonus health and magic resist?," ""Force of Nature"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the main function of the item 'Liandry's Anguish'?," ""Deals damage over time based on enemy's max health"""
Which champion has the ability 'Toxic Shot'?," ""Teemo"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
"Which champion's passive ability is 'Noxian Diplomacy', dealing bonus damage on critical strikes?"," ""Fiora"""
What is the name of the item that grants bonus ability power and mana regeneration?," ""Archangel's Staff"""
Which champion can deal area damage with the ability 'Cannon Barrage'?," ""Gangplank"""
What is the main function of the item 'Frostfire Gauntlet'?," ""Provides bonus health and deals area damage on auto attacks"""
Which champion has the ability 'Gnar'?," ""Gnar"""
What is the cooldown of the summoner spell 'Heal'?," ""240 seconds"""
"Which champion's passive ability is 'Gravitum', slowing and damaging enemies?"," ""Aphelios"""
What is the name of the item that grants bonus attack speed and magic resist?," ""Wit's End"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the name of the item that grants bonus attack damage and critical strike chance?," ""Infinity Edge"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can grant bonus attack speed with the ability 'Primal Howl'?," ""Warwick"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion has the ability 'The Righteous Fury'?," ""Kayle"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and shield penetration"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Mighty Strike', dealing bonus damage to low health enemies?"," ""Kled"""
What is the name of the item that provides bonus attack speed and cooldown reduction?," ""Navori Quickblades"""
Which champion can deal area damage with the ability 'Cannon Barrage'?," ""Gangplank"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
Which champion has the ability 'Frost Shot'?," ""Ashe"""
What is the cooldown of the summoner spell 'Smite'?," ""15 seconds"""
Which champion can apply a slow effect with the ability 'Frost Shot'?," ""Ashe"""
What is the name of the item that grants bonus attack damage and critical strike chance?," ""Infinity Edge"""
Which champion can deal area damage with the ability 'Ground Slam'?," ""Malphite"""
What is the main function of the item 'Cosmic Drive'?," ""Provides movement speed and ability power"""
"Which champion's passive ability is 'Voracious Assault', dealing bonus damage to low health enemies?"," ""Kog'Maw"""
What is the cooldown of the summoner spell 'Cleanse'?," ""210 seconds"""
Which champion can grant bonus attack speed with the ability 'Primal Howl'?," ""Warwick"""
What is the name of the item that grants bonus health and mana regeneration?," ""Warmog's Armor"""
Which champion has the ability 'The Righteous Fury'?," ""Kayle"""
What is the main function of the item 'Serpent's Fang'?," ""Provides lethality and shield penetration"""
Which champion can grant bonus health with the ability 'Inspire'?," ""Karma"""
What is the cooldown of the summoner spell 'Teleport'?," ""360 seconds"""
"Which champion's passive ability is 'Mighty Strike', dealing bonus damage to low health enemies?"," ""Kled"""
What is the name of the item that provides bonus attack speed and cooldown reduction?," ""Navori Quickblades"""
Which champion can deal area damage with the ability 'Cannon Barrage'?," ""Gangplank"""
What is the main function of the item 'Serylda's Grudge'?," ""Provides armor penetration and applies a slow effect"""
